service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2024_08_12-DX-MVS-Weekday-01,1,1,1,1,1,0,0,20240812,20250110
2024_08_12-SA-MVS-Saturday-23,0,0,0,0,0,1,0,20240817,20241102
2024_08_12-SU-MVS-Sunday-23,0,0,0,0,0,0,1,20240818,20241103
2024_08_12-SA-MVS-Saturday-01,0,0,0,0,0,1,0,20240824,20250111
2024_08_12-SU-MVS-Sunday-01,0,0,0,0,0,0,1,20240825,20250112
2024_08_12-DX19-Weekday-01,1,1,1,1,1,0,0,20240812,20250110
2024_08_12-SA19-Saturday-01,0,0,0,0,0,1,0,20240817,20250111
2024_08_12-SU19-Sunday-01,0,0,0,0,0,0,1,20240818,20250112
2024_08_12-DX20-Weekday-01,1,1,1,1,1,0,0,20240812,20250110
2024_08_12-SA20-Saturday-01,0,0,0,0,0,1,0,20240817,20250111
2024_08_12-SU20-Sunday-01,0,0,0,0,0,0,1,20240818,20250112
